File YT34to10__00000-00100: Chi2 = 21.075718939435674, p = 0.0069489859196121455, N = 58946011
File YT34to10__00100-00200: Chi2 = 24.219544765787994, p = 0.002105334011680794, N = 60936080
File YT34to10__00200-00300: Chi2 = 153.55172922359006, p = 3.558493080391709e-29, N = 62151880
File YT34to10__00300-00400: Chi2 = 11.80096730387823, p = 0.16030759888291893, N = 62872609
File YT34to10__00400-00500: Chi2 = 75.49498401639161, p = 3.9258516932597285e-13, N = 63562452
File YT34to10__00500-00600: Chi2 = 14.181797096703672, p = 0.07714828427181258, N = 64609718
File YT34to10__00600-00700: Chi2 = 27.635723585344866, p = 0.0005487078574419481, N = 66532338
File YT34to10__00700-00800: Chi2 = 9.126183206919292, p = 0.3317634476738941, N = 69755527
File YT34to10__00800-00900: Chi2 = 10.871182239253548, p = 0.2091055724133922, N = 74243196
File YT34to10__00900-01000: Chi2 = 15.36553001572718, p = 0.052415716677728784, N = 80044646
File YT34to10__01000-01100: Chi2 = 11.788759772317732, p = 0.16088067645793358, N = 86937814
File YT34to10__01100-01200: Chi2 = 36.58745137198982, p = 1.3703733345714159e-05, N = 94280090
File YT34to10__01200-01300: Chi2 = 25.337015319786108, p = 0.0013627055179860925, N = 101630358
File YT34to10__01300-01400: Chi2 = 55.65612256712007, p = 3.2909603096965735e-09, N = 108312859
File YT34to10__01400-01500: Chi2 = 2095.001113524353, p = 0.0, N = 113615788
File YT34to10__01500-01600: Chi2 = 1969.9502186293573, p = 0.0, N = 117727894
File YT34to10__01600-01700: Chi2 = 1334.4330736448935, p = 8.475067220282247e-283, N = 120196626
File YT34to10__01700-01800: Chi2 = 541.8395570375011, p = 7.348927409342155e-112, N = 121711048
File YT34to10__01800-01900: Chi2 = 125.8571448576199, p = 2.0404408618696707e-23, N = 122669721
File YT34to10__01900-02000: Chi2 = 81.63579922180661, p = 2.289302034416272e-14, N = 123989660
File YT34to10__02000-02100: Chi2 = 15.94819541511523, p = 0.043127625237984496, N = 126303176
File YT34to10__02100-02200: Chi2 = 103.68953562483432, p = 7.506376401339826e-19, N = 130130945
File YT34to10__02200-02300: Chi2 = 143.33605336838366, p = 4.798430988861401e-27, N = 136167662
File YT34to10__02300-02400: Chi2 = 122.3766086142225, p = 1.0704646872024135e-22, N = 144233239
File YT34to10__02400-02500: Chi2 = 41.14907138020426, p = 1.9549780394827202e-06, N = 154416486
File YT34to10__02500-02600: Chi2 = 55.823533176581655, p = 3.0530795877832296e-09, N = 166132906
File YT34to10__02600-02700: Chi2 = 16.179756734447523, p = 0.039878325569768266, N = 178692388
File YT34to10__02700-02800: Chi2 = 502.0967397186559, p = 2.496889196189977e-103, N = 191003050
File YT34to10__02800-02900: Chi2 = 737.5572984855381, p = 5.849939576772536e-154, N = 202302417
File YT34to10__02900-03000: Chi2 = 664.7547206418619, p = 2.7606751714948064e-138, N = 211837195
