Group starting with YT34to10__00000-00100: Chi2 = 4.3042558528522905, p = 0.828682237310256, N = 663654457
Group starting with YT34to10__01000-01100: Chi2 = 2677.2616795047543, p = 0.0, N = 1111071858
Group starting with YT34to10__02000-02100: Chi2 = 665.7520399366492, p = 1.684214933501926e-138, N = 1641219464
Group starting with YT34to10__03000-03100: Chi2 = 1074.5195660509141, p = 1.2186245741596296e-226, N = 2435303458
Group starting with YT34to10__04000-04100: Chi2 = 11325.006504992205, p = 0.0, N = 3812823378
Group starting with YT34to10__05000-05100: Chi2 = 32001.41199400085, p = 0.0, N = 5241148380
Group starting with YT34to10__06000-06100: Chi2 = 39240.30809060048, p = 0.0, N = 6087532008
Group starting with YT34to10__07000-07100: Chi2 = 119937.02491748352, p = 0.0, N = 5876977907
Group starting with YT34to10__08000-08100: Chi2 = 14456.772043366274, p = 0.0, N = 3875855299
Group starting with YT34to10__09000-09100: Chi2 = 2527.265177600973, p = 0.0, N = 2027338379
Group starting with YT34to10__10000-10100: Chi2 = 18468.726554261048, p = 0.0, N = 994402293
Group starting with YT34to10__11000-11100: Chi2 = 2769.749641873878, p = 0.0, N = 403255981
